doc_id,chunk_text,effective_date,exported_at
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,,2026-04-09T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,01/04/2025,2026-04-03T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,17/03/2026,2026/04/06T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2025-09-15,2026-04-11T00:00:00
invalid_doc_xyxyxy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,06/03/2025,2026-04-11T00:00:00
legacy_catalog_xyz_zzz,,2025-09-02,2026-04-01T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-05-21,2026-04-11T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-06-25,2026-04-05T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-15,2026-04-06T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-10-19,2026-04-02T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-11-18,2026-04-08T00:00:00
invalid_doc_xxyzyy,,2025-06-07,2026-04-04T00:00:00
invalid_doc_xzzxxy,,2025-06-13,2026/04/02T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-11-28,2026-04-06T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-06,2026-04-03T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-01-29,2026-04-09T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-01-28,2026-04-10T00:00:00
invalid_doc_zzzyxz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-01-25,2026-04-05T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-05-10,2026-04-07T00:00:00
invalid_doc_yzzxxz,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-12,2026-04-08T00:00:00
it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-05-29,2026-04-08T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-05-14,2026-04-02T00:00:00
policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2026-02-05,2026/04/05T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-01-06,2026-04-04T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-17,2026-04-07T00:00:00
data_privacy_guideline,!!!Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-02-28,2026/04/06T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-09-10,2026-04-02T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-04-21,2026-04-05T00:00:00
data_privacy_guideline,Nội dung không rõ ràng: !!!Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-08-26,2026-04-06T00:00:00
policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-04-24,2026-04-02T00:00:00
data_privacy_guideline,,2025-06-29,2026-04-07T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-01-07,2026-04-01T00:00:00
policy_refund_v4,!!!Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-04-01,2026-04-07T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-12-18,2026-04-11T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-25,2026-04-07T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-09-04,2026-04-09T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,23/04/2025,2026-04-02T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-12-20,2026-04-03T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-09-30,2026-04-05T00:00:00
it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-02-18,2026-04-04T00:00:00
invalid_doc_yzyzxx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-01,2026-04-08T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-02-22,2026-04-09T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-17,2026-04-05T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-03-05,2026-04-04T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-09-22,2026/04/11T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-03-15,2026-04-04T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-01-24,2026-04-06T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-24,2026-04-06T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-10-07,2026-04-03T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,,2026-04-11T00:00:00
invalid_doc_zzxxzx,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-02-06,2026-04-09T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-07-01,2026-04-11T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-06-16,2026/04/07T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-09-06,2026-04-05T00:00:00
invalid_doc_xzxzzz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-13,2026-04-03T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-11-18,2026-04-04T00:00:00
it_helpdesk_faq,,2025-04-05,2026-04-06T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-03-13,2026-04-01T00:00:00
legacy_catalog_xyz_zzz,,2026-03-27,2026-04-05T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-07-24,2026-04-10T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,,2026-04-08T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,,2026-04-03T00:00:00
invalid_doc_xzyyyx,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-18,2026-04-03T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-01,2026-04-07T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-28,2026/04/09T00:00:00
data_privacy_guideline,,2026-01-02,2026-04-11T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export. Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-03-16,2026-04-01T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-02-07,2026-04-07T00:00:00
sla_p1_2026,,2025-09-06,2026-04-06T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-07-03,2026-04-10T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-05-01,2026-04-06T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-08-17,2026-04-09T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-10-16,2026-04-04T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-13,2026-04-10T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-11-12,2026-04-03T00:00:00
invalid_doc_zyxyyx,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-12-08,2026-04-10T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-04-28,2026-04-09T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-03-13,2026-04-02T00:00:00
invalid_doc_xyyyxy,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,,2026-04-11T00:00:00
sla_p1_2026,Nội dung không rõ ràng: Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-01-18,2026-04-01T00:00:00
policy_refund_v4,,2026-02-17,2026-04-09T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-12,2026/04/09T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-18,2026-04-11T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-04-14,2026-04-04T00:00:00
sla_p1_2026,,2026-02-07,2026-04-01T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-05-18,2026-04-02T00:00:00
invalid_doc_zzyyzx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-08-09,2026-04-09T00:00:00
legacy_catalog_xyz_zzz,,2026-01-04,2026-04-11T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-05-13,2026-04-04T00:00:00
invalid_doc_xzxxzx,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-01-25,2026-04-07T00:00:00
data_privacy_guideline,Nội dung không rõ ràng: Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-02-09,2026-04-02T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-10-07,2026-04-05T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,12/04/2025,2026-04-03T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-17,2026/04/09T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-10-18,2026-04-05T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-14,2026/04/07T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-08-04,2026-04-04T00:00:00
hr_leave_policy,,2025-12-14,2026-04-03T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,22/12/2025,2026-04-02T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-12-06,2026-04-04T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2026-03-09,2026-04-02T00:00:00
sla_p1_2026,,2025-09-15,2026-04-11T00:00:00
policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-09-27,2026-04-11T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-09-19,2026-04-09T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-05-03,2026-04-08T00:00:00
invalid_doc_yxyxxx,,2025-04-18,2026-04-06T00:00:00
invalid_doc_zzyxyx,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-03-03,2026-04-06T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày làm việc phép năm (bản HR 2025).,2025-11-04,2026-04-06T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-10-07,2026-04-01T00:00:00
hr_leave_policy,,2025-11-07,2026-04-10T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-07-22,2026/04/11T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-08-07,2026-04-09T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-12-27,2026-04-01T00:00:00
sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-11-18,2026-04-02T00:00:00
it_helpdesk_faq,Nội dung không rõ ràng: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-01-04,2026/04/02T00:00:00
invalid_doc_xzxxxz,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-05-18,2026-04-04T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-01-15,2026-04-11T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-11-17,2026-04-08T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-06-05,2026-04-09T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-10-29,2026-04-02T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-07-19,2026-04-02T00:00:00
security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,2025-07-16,2026-04-05T00:00:00
policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-03-27,2026-04-11T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-03-09,2026-04-07T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-03-17,2026-04-11T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,,2026-04-08T00:00:00
data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-03-21,2026-04-03T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,16/01/2025,2026-04-10T00:00:00
hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-04-29,2026-04-07T00:00:00
legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-14,2026-04-02T00:00:00
it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,14/10/2025,2026-04-03T00:00:00
